train_size,order_strategy,column_order,dag_used,repetition,categorical,max_corr_difference,mean_corr_difference,propensity_metrics_avg pMSE,propensity_metrics_pMSE err,propensity_metrics_avg acc,propensity_metrics_acc err,k_marginal_tvd
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",0,False,1.942890293094024e-14,3.293661639721298e-15,0.0011866701176110616,5.470828797196624e-05,0.5275958244888657,0.0022710043794282025,0.157
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",0,False,1.942890293094024e-14,9.71445146547012e-15,0.0012681572588500109,7.042029463052085e-05,0.5314933495778886,0.0025691949714716352,0.1625
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",0,False,1.942890293094024e-14,9.251858538542972e-17,0.003573039621347867,0.0002444942973037517,0.5483619648520021,0.007392765375837273,0.1865
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",0,False,1.9539925233402755e-14,6.494804694057166e-15,0.001515104584859555,0.00016670484742126637,0.5382838571958021,0.007995698154362902,0.14908333333333332
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",1,False,1.9539925233402755e-14,3.3121653567983835e-15,0.004087228672677677,0.0001325809375461292,0.5565356368004908,0.005335852505011701,0.15825000000000003
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",1,False,1.9539925233402755e-14,9.71445146547012e-15,0.003063547652868122,8.57430569482835e-05,0.5491092424715209,0.004936964516402753,0.1745
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",1,False,1.9539925233402755e-14,7.401486830834377e-17,0.0036960044968157614,0.00028514664860072007,0.5496157762196952,0.009471432311522681,0.18958333333333335
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",1,False,1.9539925233402755e-14,6.5133084111342514e-15,0.004902537458044566,0.00021609238486139498,0.5405522607493725,0.003813488910560195,0.19358333333333333
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",2,False,1.9539925233402755e-14,3.3121653567983835e-15,0.00958332901665653,0.00036886623553533817,0.5814824339288103,0.006830941597810585,0.20458333333333334
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",2,False,1.9539925233402755e-14,9.769962616701378e-15,0.007542537028509512,0.0003742311101160391,0.5749505225788702,0.0055442737649057635,0.22233333333333336
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",2,False,1.9539925233402755e-14,5.551115123125783e-17,0.0071727391305414275,0.00022754131153449015,0.5613340822064699,0.004871957254241679,0.20575
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",2,False,1.9539925233402755e-14,6.47630097698008e-15,0.00593034791658255,0.0002603076123451564,0.5599771127104555,0.005762314910974662,0.18908333333333335
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",3,False,1.942890293094024e-14,3.2751579226442118e-15,0.007639194629816245,0.000340312332692501,0.5766476964927607,0.007077629358404883,0.2015833333333333
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",3,False,1.9539925233402755e-14,9.751458899624291e-15,0.008347542110036518,0.00042537434333148673,0.5819132108722032,0.007865316954981839,0.22899999999999998
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",3,False,1.9539925233402755e-14,9.251858538542972e-17,0.0059327041935788565,0.0002796342009610137,0.5685725471491059,0.005706458284072754,0.2354166666666666
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",3,False,1.9539925233402755e-14,6.5133084111342514e-15,0.004213152509235794,0.00032348371941932593,0.5516872148527262,0.010398222703748454,0.22075
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",4,False,1.9539925233402755e-14,3.3121653567983835e-15,0.001961464052398444,0.0002333006261372623,0.5352432923202104,0.0065864607360799025,0.11425000000000002
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",4,False,1.942890293094024e-14,9.732955182547206e-15,0.001550670231637429,0.0001379723003381261,0.5244410683413271,0.00744899700668649,0.11225
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",4,False,1.9539925233402755e-14,1.1102230246251565e-16,0.001985188221958108,0.0001358982441349134,0.537344839550974,0.006333732052090571,0.14508333333333334
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",4,False,1.9539925233402755e-14,6.494804694057166e-15,0.003845336524011668,0.00034166404177400715,0.5401965999911251,0.005484158154567631,0.1485
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",5,False,1.9539925233402755e-14,3.3491727909525557e-15,0.004117927306644442,0.0005769450065789733,0.53702829027428,0.005551587971599594,0.16716666666666669
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",5,False,1.9539925233402755e-14,9.751458899624291e-15,0.007382642217631881,0.000434084901120691,0.5660197959209551,0.0049874543287816864,0.14758333333333334
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",5,False,1.9539925233402755e-14,5.551115123125783e-17,0.0037098104781023945,0.00044681900617309285,0.5403647104561827,0.010266118244839471,0.18033333333333335
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",5,False,1.9539925233402755e-14,6.47630097698008e-15,0.006389921956564994,0.00034845966164505766,0.5701534012334102,0.008240221126733208,0.18516666666666667
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",6,False,1.9539925233402755e-14,3.293661639721298e-15,0.010885400802511169,0.0005346427710448203,0.5942147880845827,0.0031049484570778592,0.20433333333333334
